order_id,customer_id,restaurant_name,order_date,order_value,delivery_time_mins,rating,cuisine_type,order_status
189,18,The Black Rabbit,2023-06-27,793.74,73,,Continental,Delayed
190,18,Toit Brewpub,2024-01-27,798.23,67,,Continental,Cancelled
191,18,Chianti,2023-08-08,838.1,58,2.9,Italian,Delivered
192,19,Nagarjuna,2023-05-24,381.48,32,4.4,Andhra,Delivered
193,19,Nagarjuna,2023-06-04,665.63,65,3.1,Andhra,Delivered
194,20,The Black Rabbit,2024-04-04,430.58,52,3.3,Continental,Delivered
195,20,Manis Cafe,2023-06-21,418.5,35,4.1,South Indian,Delivered
196,20,Corner House,2023-08-11,158.01,57,3.8,Desserts,Delivered
197,20,Empire Restaurant,2023-04-01,433.79,49,3.4,North Indian,Delivered
198,20,Corner House,2023-05-05,303.39,43,4.5,Desserts,Delivered
199,20,Karavalli,2023-07-05,534.46,43,4.4,Coastal,Delivered
200,20,Shivaji Military Hotel,2023-10-25,761.19,63,3.3,Mutton,Delivered
201,20,Koshys,2023-12-16,228.55,24,4.4,Continental,Delivered
202,20,Chianti,2023-10-19,379.68,54,3.3,Italian,Delivered
203,20,Chianti,2023-05-22,507.26,51,3.3,Italian,Delivered
204,20,Byg Brewski,2023-08-18,190.42,46,3.8,Continental,Delivered
205,20,Meghana Foods,2024-04-14,152.11,45,4.1,Biryani,Delivered
206,20,The Black Rabbit,2023-04-26,528.81,42,4.0,Continental,Delivered
207,20,CTR,2023-08-18,688.28,38,4.4,South Indian,Delivered
208,20,Fatty Bao,2023-11-02,784.74,48,3.9,Asian,Delivered
209,20,Koshys,2023-10-14,526.08,27,3.8,Continental,Delivered
210,20,Meghana Foods,2023-05-06,653.37,39,4.3,Biryani,Delivered
211,20,Shivaji Military Hotel,2024-07-04,258.58,35,3.9,Mutton,Delivered
212,20,The Black Rabbit,2023-05-23,768.63,59,3.2,Continental,Delivered
213,20,Empire Restaurant,2023-06-06,568.45,58,2.8,North Indian,Delivered
214,21,Sanchez,2023-08-10,693.24,33,4.1,Mexican,Delivered
215,21,Chianti,2023-08-15,690.78,40,4.1,Italian,Delivered
216,21,Vidyarthi Bhavan,2023-07-09,439.49,62,3.8,South Indian,Delivered
217,21,The Black Rabbit,2023-10-24,830.6,55,,Continental,Delayed
218,21,Byg Brewski,2024-06-08,435.78,40,4.4,Continental,Delivered
219,21,Sanchez,2023-11-17,307.74,50,,Mexican,Cancelled
220,21,CTR,2023-09-08,441.56,55,4.0,South Indian,Delivered
221,21,Nagarjuna,2023-09-19,205.35,33,4.1,Andhra,Delivered
222,21,Sanchez,2023-07-09,186.08,66,3.4,Mexican,Delivered
223,21,Brahmin Coffee Bar,2023-06-06,657.01,71,3.8,South Indian,Delivered
224,22,Brahmin Coffee Bar,2023-03-25,849.7,67,3.3,South Indian,Delivered
225,22,Karavalli,2023-09-18,790.59,65,3.5,Coastal,Delivered
226,22,Punjab Grill,2023-10-09,365.9,54,3.6,North Indian,Delivered
227,22,Empire Restaurant,2024-07-23,478.64,71,3.6,North Indian,Delivered
228,22,Manis Cafe,2023-07-11,754.86,46,3.7,South Indian,Delivered
229,22,Sanchez,2023-04-29,442.3,57,3.2,Mexican,Delivered
230,22,Fatty Bao,2023-08-13,499.51,56,3.5,Asian,Delivered
231,22,Hole in the Wall Cafe,2023-09-01,493.42,66,3.4,Cafe,Delivered
232,22,Vidyarthi Bhavan,2023-07-23,278.83,66,,South Indian,Cancelled
233,22,CTR,2023-07-09,811.63,73,4.0,South Indian,Delivered
234,22,Vidyarthi Bhavan,2023-06-03,197.58,73,3.9,South Indian,Delivered
235,22,Punjab Grill,2024-01-26,596.41,43,,North Indian,Delayed
236,22,Meghana Foods,2024-09-28,437.94,20,4.3,Biryani,Delivered
237,22,Corner House,2024-02-21,638.5,21,4.4,Desserts,Delivered
238,22,Empire Restaurant,2023-06-24,284.35,53,3.3,North Indian,Delivered
239,22,Fatty Bao,2023-10-16,434.22,25,3.9,Asian,Delivered
240,22,Truffles,2023-11-07,604.93,61,3.8,Burgers,Delivered
241,22,Fatty Bao,2023-12-23,595.72,55,3.6,Asian,Delivered
242,22,The Black Rabbit,2023-10-22,546.1,61,,Continental,Cancelled
243,22,CTR,2023-11-04,757.68,34,,South Indian,Cancelled
244,22,CTR,2023-11-12,346.26,24,4.6,South Indian,Delivered
245,22,Toit Brewpub,2023-07-18,823.03,74,3.2,Continental,Delivered
246,22,Fatty Bao,2024-08-30,544.77,24,3.8,Asian,Delivered
247,22,Sanchez,2024-08-13,667.82,41,3.8,Mexican,Delivered
248,22,Truffles,2024-07-21,392.1,52,4.0,Burgers,Delivered
249,22,Truffles,2024-02-21,579.71,41,4.3,Burgers,Delivered
250,22,Meghana Foods,2024-06-25,844.81,60,3.3,Biryani,Delivered
251,22,Fatty Bao,2024-05-10,560.11,47,3.3,Asian,Delivered
252,22,Shivaji Military Hotel,2024-06-03,337.58,65,2.8,Mutton,Delivered
253,23,Koshys,2023-09-19,810.07,26,3.8,Continental,Delivered
254,23,Nagarjuna,2024-05-08,281.17,26,3.9,Andhra,Delivered
255,23,Byg Brewski,2024-01-29,212.73,46,3.5,Continental,Delivered
256,23,Karavalli,2024-02-24,419.67,70,3.6,Coastal,Delivered
257,23,Truffles,2023-11-14,783.65,66,,Burgers,Delayed
258,24,Vidyarthi Bhavan,2023-09-19,495.19,37,4.4,South Indian,Delivered
259,24,The Black Rabbit,2023-11-18,203.84,39,3.8,Continental,Delivered
260,24,Karavalli,2024-03-14,224.88,59,3.5,Coastal,Delivered
261,24,Karavalli,2023-12-27,380.68,44,4.7,Coastal,Delivered
262,24,Corner House,2023-12-01,636.7,40,4.5,Desserts,Delivered
263,24,Manis Cafe,2023-10-29,593.03,38,,South Indian,Delayed
264,24,Fatty Bao,2024-01-07,425.05,37,4.3,Asian,Delivered
265,24,Chianti,2024-02-19,687.33,54,3.3,Italian,Delivered
266,24,Punjab Grill,2024-03-05,634.98,71,2.9,North Indian,Delivered
267,24,Hole in the Wall Cafe,2024-07-18,319.41,28,4.2,Cafe,Delivered
268,24,Fatty Bao,2024-09-21,568.55,24,4.0,Asian,Delivered
269,25,Sanchez,2023-02-25,209.49,58,3.2,Mexican,Delivered
270,25,Koshys,2023-04-09,181.01,30,,Continental,Delayed
271,26,The Black Rabbit,2024-05-06,331.12,26,3.4,Continental,Delivered
272,26,Sanchez,2023-12-21,304.72,57,3.3,Mexican,Delivered
273,26,Chianti,2023-11-28,391.48,64,3.2,Italian,Delivered
274,26,Corner House,2023-06-02,210.1,46,4.3,Desserts,Delivered
275,26,Vidyarthi Bhavan,2024-04-22,468.73,42,4.4,South Indian,Delivered
276,26,Koshys,2023-12-23,655.4,50,3.4,Continental,Delivered
277,26,Corner House,2023-05-29,230.56,22,4.6,Desserts,Delivered
278,26,Empire Restaurant,2024-03-26,800.95,63,3.4,North Indian,Delivered
279,26,Toit Brewpub,2024-01-24,541.89,55,,Continental,Delayed
280,27,The Black Rabbit,2023-07-28,579.87,45,3.4,Continental,Delivered
281,27,Fatty Bao,2024-08-28,294.05,20,4.2,Asian,Delivered
282,27,Empire Restaurant,2023-09-02,280.87,71,3.5,North Indian,Delivered
283,27,Nagarjuna,2023-08-23,519.4,62,3.7,Andhra,Delivered
284,27,Karavalli,2024-08-01,393.55,45,4.6,Coastal,Delivered
285,27,Corner House,2023-12-29,620.48,59,3.7,Desserts,Delivered
286,27,Empire Restaurant,2023-12-14,248.95,31,3.9,North Indian,Delivered
287,27,Chianti,2023-12-04,490.67,44,3.9,Italian,Delivered
288,27,Toit Brewpub,2023-12-10,280.97,51,3.5,Continental,Delivered
289,27,Meghana Foods,2023-09-09,720.65,51,,Biryani,Delayed
290,27,The Black Rabbit,2024-12-18,647.1,63,3.0,Continental,Delivered
291,27,Chianti,2023-08-26,304.37,21,4.2,Italian,Delivered
292,27,Corner House,2024-05-11,545.96,30,4.6,Desserts,Delivered
293,28,Sanchez,2024-03-19,682.0,72,3.3,Mexican,Delivered
294,28,Empire Restaurant,2023-07-01,675.94,67,3.5,North Indian,Delivered
295,28,Nagarjuna,2023-04-17,210.89,42,,Andhra,Cancelled
296,28,Brahmin Coffee Bar,2023-05-24,632.39,71,,South Indian,Cancelled
297,28,Toit Brewpub,2024-06-10,294.63,59,3.0,Continental,Delivered
298,28,Koshys,2023-06-15,527.14,54,3.5,Continental,Delivered
299,28,Chianti,2023-09-04,510.09,37,,Italian,Cancelled
300,28,The Black Rabbit,2023-05-18,756.93,23,4.2,Continental,Delivered
301,28,Vidyarthi Bhavan,2023-06-21,323.29,65,3.7,South Indian,Delivered
302,28,Vidyarthi Bhavan,2023-12-30,589.47,56,3.9,South Indian,Delivered
303,28,Fatty Bao,2023-05-22,636.29,52,,Asian,Cancelled
304,28,Manis Cafe,2024-09-14,691.89,57,3.3,South Indian,Delivered
305,28,Truffles,2024-05-09,302.48,70,3.4,Burgers,Delivered
306,28,Nagarjuna,2024-01-22,386.43,40,4.5,Andhra,Delivered
307,28,CTR,2024-05-04,698.72,22,4.2,South Indian,Delivered
308,29,The Black Rabbit,2023-04-23,786.59,32,,Continental,Cancelled
309,29,Nagarjuna,2023-07-18,325.27,25,4.3,Andhra,Delivered
310,29,CTR,2023-10-19,658.19,45,4.6,South Indian,Delivered
311,29,Truffles,2024-04-07,299.39,65,3.1,Burgers,Delivered
312,29,Byg Brewski,2023-12-30,155.64,63,3.4,Continental,Delivered
313,29,Vidyarthi Bhavan,2023-09-03,418.15,50,3.9,South Indian,Delivered
314,29,Manis Cafe,2023-06-18,245.99,43,4.8,South Indian,Delivered
315,29,Vidyarthi Bhavan,2023-11-08,155.93,24,4.6,South Indian,Delivered
316,29,Brahmin Coffee Bar,2023-11-28,793.93,60,3.8,South Indian,Delivered
317,29,Brahmin Coffee Bar,2024-08-20,248.01,25,4.7,South Indian,Delivered
318,29,The Black Rabbit,2023-12-08,323.45,40,4.0,Continental,Delivered
319,29,Karavalli,2024-03-26,349.44,58,,Coastal,Delayed
320,29,Corner House,2023-09-14,506.67,33,4.4,Desserts,Delivered
321,29,CTR,2024-05-22,818.27,70,4.0,South Indian,Delivered
322,29,Hole in the Wall Cafe,2023-09-01,519.8,60,,Cafe,Delayed
323,29,Vidyarthi Bhavan,2023-12-16,547.87,44,4.9,South Indian,Delivered
324,29,Truffles,2024-03-09,159.66,21,4.3,Burgers,Delivered
325,29,Byg Brewski,2023-10-26,500.73,38,4.3,Continental,Delivered
326,30,Karavalli,2024-02-17,366.93,29,4.3,Coastal,Delivered
327,30,Vidyarthi Bhavan,2023-09-04,560.51,54,4.1,South Indian,Delivered
328,30,Truffles,2024-04-24,660.97,39,4.4,Burgers,Delivered
329,30,Shivaji Military Hotel,2023-07-01,231.19,25,4.2,Mutton,Delivered
330,31,Vidyarthi Bhavan,2023-02-11,497.49,64,3.4,South Indian,Delivered
331,31,Toit Brewpub,2023-10-28,696.79,43,3.8,Continental,Delivered
332,31,Manis Cafe,2023-02-17,516.7,71,3.6,South Indian,Delivered
333,31,Hole in the Wall Cafe,2023-05-04,188.81,49,,Cafe,Cancelled
334,31,Toit Brewpub,2023-05-25,775.99,36,4.3,Continental,Delivered
335,31,Byg Brewski,2023-04-24,754.05,20,3.8,Continental,Delivered
336,31,Fatty Bao,2024-03-08,822.24,29,3.7,Asian,Delivered
337,31,Manis Cafe,2023-06-29,654.2,35,4.4,South Indian,Delivered
338,31,Koshys,2023-05-24,781.36,27,4.1,Continental,Delivered
339,31,Fatty Bao,2023-05-03,756.22,24,4.3,Asian,Delivered
340,31,Truffles,2023-09-05,408.24,55,3.8,Burgers,Delivered
341,31,Shivaji Military Hotel,2024-02-08,830.3,49,,Mutton,Delayed
342,31,Vidyarthi Bhavan,2023-08-04,166.74,20,4.9,South Indian,Delivered
343,31,Meghana Foods,2023-05-18,744.3,68,3.6,Biryani,Delivered
344,31,Byg Brewski,2023-06-02,822.83,35,,Continental,Delayed
345,31,Nagarjuna,2023-10-15,312.03,25,3.8,Andhra,Delivered
346,31,Koshys,2024-04-13,209.43,49,4.1,Continental,Delivered
347,31,Fatty Bao,2023-10-06,193.6,24,4.1,Asian,Delivered
348,31,Corner House,2023-06-30,798.23,36,4.7,Desserts,Delivered
349,32,Shivaji Military Hotel,2023-09-12,245.28,24,4.3,Mutton,Delivered
350,32,Vidyarthi Bhavan,2023-06-25,476.24,26,4.3,South Indian,Delivered
351,32,Brahmin Coffee Bar,2023-11-05,335.51,48,3.8,South Indian,Delivered
352,32,Corner House,2023-07-30,572.31,72,3.8,Desserts,Delivered
353,32,Manis Cafe,2023-12-21,323.75,29,4.2,South Indian,Delivered
354,32,CTR,2023-09-29,724.06,63,3.5,South Indian,Delivered
355,32,Punjab Grill,2023-09-06,324.9,55,3.7,North Indian,Delivered
356,32,Vidyarthi Bhavan,2023-12-22,731.26,27,,South Indian,Delayed
357,33,Chianti,2023-07-01,718.92,57,3.0,Italian,Delivered
358,33,Punjab Grill,2023-05-06,783.55,71,2.8,North Indian,Delivered
359,33,CTR,2023-06-17,796.89,49,3.7,South Indian,Delivered
360,33,Meghana Foods,2023-12-31,270.97,44,4.4,Biryani,Delivered
361,33,Nagarjuna,2023-07-05,174.25,48,4.1,Andhra,Delivered
